id,post_id,price,bedrooms,bathrooms,sqft,zip_code,neighborhood,full_description,scraped_date,avg_median_income,crime_count_2025,population_2025
55855,7899537218,785,1.0,,,94115,western addition,"QR Code Link to This Post
Ask for a free application via email. If you are financially eligible for the unit, you will be able to set up a viewing.
Multiple bedrooms at Baker's Dozen housing cooperative. Baker's Dozen is a consensus-based, non-hierarchical housing cooperative that strives to build a sustainable and permanently affordable intentional community. We model how accountability, trust, and mutual appreciation work. We want to live these values in a real world where anti-gentrification, anti-oppression, and queer spaces are fought for and celebrated.
Note: Units are individual bedrooms. Kitchen, bathrooms, and living rooms are shared amongst residents.
Income Requirement: Income must be between $28,260 and $54,450.
Utilities: Residents pay water, gas, electric, sewer
Limited Accessibility in building",2025-12-03 00:47:33,143818.92,1358,2872
55856,7898547059,800,2.0,1.0,,94112,ingleside / SFSU / CCSF,"QR Code Link to This Post
This is a cozy in-law room located in the ground level of the house. The room is carpeted and comes with a desk, chair and wardrobe.
You will get your private room and share the kitchenette and bathroom with another housemate downstairs.
Very quiet and relaxing, suitable for students or working professionals.
The house is located within a block to MUNI M line, and bus #29 with easy access to both SFSU and CCSF in less than 10 minutes. Close to all amenities, restaurants, and grocery stores.
- High speed fiber optic Wi-Fi available.
- Low shared utilities
- FREE on site laundry (washer and dryer in the garage).
- First and last month's rent plus $750 refundable security deposit to move in.
*** No drugs, No pets, No parties, No sleepovers***
** Single Occupancy.
+++Minimum 6 months or one year lease required.+++
## Available NOW.
You may respond to the ad with some info about yourself, your job or any other source of income, and your phone number to be contacted.",2025-12-03 00:47:33,131280.36,1139,4762
55857,7899162326,800,0.0,,70.0,94133,north beach / telegraph hill,"QR Code Link to This Post
See more photos and
SCHEDULE A SHOWING
at:
http://schedule-a-viewing.com/lc/ce3ece1002
No, it's not a hyperlink.  :-(  You still have to copy-and-paste this link into the address bar on your web browser.
Private SRO Room near North Beach, Chinatown & Financial District
301 Columbus Ave - 305, San Francisco, CA, 94133
$800 per month
Available now
Studio
70 sq. ft.
Deposit $800.0
TO SCHEDULE A SHOWING, please paste the following link into your browser:
https://showmojo.com/l/ce3ece1002/301-columbus-ave-305-san-francisco-ca-94133?fullscreen=true&g=2&sd=true
NOTE: BATHROOMS ARE SHARED AND THERE IS NO KITCHEN ON-SITE.
301 Columbus Avenue # 305 is a single, private room located on the top floor of a co-living space near the border of Chinatown and the North Beach neighborhood. It has a walk score of 100/100 and transit score of 90/100.
-2 mins drive/10 mins public transit/3 mins bike ride/ 12 mins walk to Downtown San Francisco
-7 mins walk to the Financial District
-14 mins drive to the Golden Gate Bridge
-18 mins drive to the Presidio of San Francisco and Golden Gate Park
-Nearby parks include Stockton Street Parklet, Columbus Avenue Parklet and Jackson Square Historic District
Utilities: All Included
Bathroom: Shared
Kitchen: NONE
Parking: NONE
Lease term: 12 months
Deposit: Equivalent to One Month's Rent
Double Occupancy: $900/month
No Pets
REQUIRED QUALIFICATIONS:
Credit Score of 650+
Monthly income of 2.5x the amount of rent
Positive references
CONTACT:
Fanny Chun - Leasing Agent
CA DRE# 02243211
Structure Properties, Inc.
3727 Buchanan Street, Floor 4, San Francisco, CA 94123
www.structureproperties.com
CA DRE #01961414
“Located on the north end of San Francisco and encompassing Fisherman’s Wharf, Telegraph Hill, and Embarcadero, North Beach is a large neighborhood on the bay with diverse neighborhoods and plenty to do. Some of San Francisco’s most iconic landmarks are located here, including Pioneer Park, Coit Tower, Pier 39, and Washington Square. Considered one of the nation’s best neighborhoods, North Beach started out as an actual beach and was filled in during the late 1800s.
During the 1950s, North Beach was a meeting place for the Beat Generation, a literary movement that included several famous authors like Jack Kerouac and Allen Ginsberg. Learn more about this important movement at the Beat Museum, located off Broadway. North Beach is hilly, and several famous staircases are located throughout. Climb to the top of the Peter Macciarini Steps for terrific views of the Financial District, the Vallejo Stairs for beautiful bay views, or the garden-filled Filbert Street Stairs.
Like all of San Francisco, you won’t be lacking great restaurants or nightlife when you move to North Beach. Some neighborhood favorites include Tony’s Pizza Napoletana, Caffe Trieste, Sotto Mare, Mama’s on Washington Square, and Hillstone.”
-Apartments.com
All Utilities Included
Lease Terms
. No dogs
. No cats
Contact Us:
show contact info
See more photos and
SCHEDULE A SHOWING
at:
http://schedule-a-viewing.com/lc/ce3ece1002",2025-12-03 00:47:33,116675.28,1370,2842
55858,7899162301,750,0.0,,120.0,94133,financial district,"QR Code Link to This Post
See more photos and
SCHEDULE A SHOWING
at:
http://showinghotline.com/lc/596a5ac044
No, it's not a hyperlink.  :-(  You still have to copy-and-paste this link into the address bar on your web browser.
Newly Renovated Private Room in Chinatown
1137 Stockton St - 3, San Francisco, CA, 94133
$750 per month
Available now
Studio
120 sq. ft.
Deposit $750.0
TO SCHEDULE A SHOWING, please paste the following link into your browser:
https://showmojo.com/l/596a5ac044/1137-stockton-st-3-san-francisco-ca-94133
1137 Stockton Street #3 is newly renovated private room located on the second floor of a SRO (single room occupancy) property. The building is located on a lively street in Chinatown. There are restaurants, grocery stores, health care facilities, schools, banks, a post office, and has easy access to public transportation. Nearby parks include Willie ""Woo Woo"" Wong Park, Portsmouth Square and Chinese Recreation Center. 1137 Stockton Street has a Walk Score of 100/100 and a Transit Score of 98/100.
DETAILS:
-Bed: 0
-Bath: Shared
-Rent: $750
-Lease Term: 12 months
-Utilities Included: Water & Garbage
-No Shared Kitchen
-No Parking
-No Pets
REQUIRED QUALIFICATIONS:
Credit Score of 650+
Monthly income of 2.5x the amount of rent
Positive references
CONTACT:
Fanny Chun - Leasing Agent
CA DRE #02243211
Structure Properties, Inc.
3727 Buchanan Street, Floor 4
San Francisco, CA 94123
structureproperties.com
CA DRE #01961414
This unit is a rental unit subject to the San Francisco Rent Ordinance, which limits evictions without just cause, and which states that any waiver by a tenant of their rights under the Rent Ordinance is void as contrary to public policy.
“Famous for being the largest Chinatown outside of Asia, San Francisco’s Chinatown is a vibrant neighborhood teeming with cultural offerings. Nestled between Nob Hill and the Financial District, Chinatown is one of the top destinations in the city for its fantastic sights, shopping, and dining.
Grant Avenue and Stockton Street are the neighborhood’s main thoroughfares, each touting rows of dim sum spots, bakeries, tea houses, cafes, markets, and specialty stores. Some of Chinatown’s most notable landmarks include the Dragon’s Gate, the Chinese Historical Society of America, and Tin How Temple.
Chinatown residents enjoy an array of lively, year-round events, such as the Chinese Culture Center Spring Festival, Autumn Moon Festival, and the popular Chinese New Year Festival and Parade. The neighborhood’s central locale affords residents easy commutes and travels.”
-Apartments.com
Water & Garbage
Lease Terms
. No dogs
. No cats
Contact Us:
show contact info
See more photos and
SCHEDULE A SHOWING
at:
http://showinghotline.com/lc/596a5ac044",2025-12-03 00:47:33,116675.28,1370,2842
55859,7899162236,800,0.0,,69.0,94133,financial district,"QR Code Link to This Post
See more photos and
SCHEDULE A SHOWING
at:
http://showinghotline.com/lc/cbd0dd7077
No, it's not a hyperlink.  :-(  You still have to copy-and-paste this link into the address bar on your web browser.
Private Room in the Heart of Chinatown
1208 STOCKTON ST - 5, SAN FRANCISCO, CA, 94133
$800 per month
Available now
Studio
69 sq. ft.
Deposit $800.0
TO SCHEDULE A SHOWING, please paste the following link into your browser:
https://showmojo.com/l/cbd0dd7077
1208 Stockton Street #5 is a single, private room located on the 2nd floor of an SRO (Single Room Occupancy) building in the heart of Chinatown. It has a walk score of 100/100 and transit score of 98/100.
-2 min drive/13 min public transit/4 min bike ride/17 mins walk to Downtown San Francisco
-Nearby parks include Portsmouth Square, Columbus Avenue Parklet and Stockton Street Parklet
DETAILS:
-Bed: 0
-Bath: Shared
-Rent: $800
-Security Deposit: $800
-Lease term: 12 months
-Utilities Included: Water & Garbage
-No Parking
-No Pets
REQUIRED QUALIFICATIONS:
Credit Score of 650+
Monthly income of 2.5x the amount of rent
Positive references
CONTACT:
Fanny Chun - Leasing Agent
show contact info
CA DRE #02243211
Structure Properties, Inc.
3727 Buchanan Street, Floor 4
San Francisco, CA 94123
structureproperties.com
CA DRE #01961414
This unit is a rental unit subject to the San Francisco Rent Ordinance, which limits evictions without just cause, and which states that any waiver by a tenant of their rights under the Rent Ordinance is void as contrary to public policy.
Water & Garbage
Lease Terms
. No dogs
. No cats
Contact Us:
show contact info
See more photos and
SCHEDULE A SHOWING
at:
http://showinghotline.com/lc/cbd0dd7077",2025-12-03 00:47:33,116675.28,1370,2842
55860,7899162169,800,0.0,,68.0,94133,financial district,"QR Code Link to This Post
See more photos and
SCHEDULE A SHOWING
at:
http://schedule-a-tour.com/lc/240e19c077
No, it's not a hyperlink.  :-(  You still have to copy-and-paste this link into the address bar on your web browser.
Top Floor Private Room in the Heart of Chinatown
1208 STOCKTON ST - 25, SAN FRANCISCO, CA, 94133
$800 per month
Available now
Studio
68 sq. ft.
Deposit $800.0
TO SCHEDULE A SHOWING, please paste the following link into your browser:
https://showmojo.com/l/240e19c077
1208 Stockton Street #25 is a single, private room located on the top floor of an SRO (Single Room Occupancy) building in the heart of Chinatown. It has a walk score of 100/100 and transit score of 98/100.
-2 min drive/13 min public transit/4 min bike ride/17 mins walk to Downtown San Francisco
-Nearby parks include Portsmouth Square, Columbus Avenue Parklet and Stockton Street Parklet
DETAILS:
-Bed: 0
-Bath: Shared
-Rent: $800
-Security Deposit: $800
-Lease term: 12 months
-Utilities Included: Water & Garbage
-No Parking
-No Pets
REQUIRED QUALIFICATIONS:
Credit Score of 650+
Monthly income of 2.5x the amount of rent
Positive references
CONTACT:
Fanny Chun - Leasing Agent
show contact info
CA DRE #02243211
Structure Properties, Inc.
3727 Buchanan Street, Floor 4
San Francisco, CA 94123
structureproperties.com
CA DRE #01961414
This unit is a rental unit subject to the San Francisco Rent Ordinance, which limits evictions without just cause, and which states that any waiver by a tenant of their rights under the Rent Ordinance is void as contrary to public policy.
Water & Garbage
Lease Terms
. No dogs
. No cats
Contact Us:
show contact info
See more photos and
SCHEDULE A SHOWING
at:
http://schedule-a-tour.com/lc/240e19c077",2025-12-03 00:47:33,116675.28,1370,2842
55861,7899162076,800,0.0,,,94111,financial district,"QR Code Link to This Post
See more photos and
SCHEDULE A SHOWING
at:
http://schedule-a-tour.com/lc/afc8c4c084
No, it's not a hyperlink.  :-(  You still have to copy-and-paste this link into the address bar on your web browser.
Renovated, Street-facing Room near Financial District and Downtown! Utilities Included!
666 Sacramento St - 6, San Francisco, CA, 94111
$800 per month
Available now
Studio
Deposit $800.0
TO SCHEDULE A SHOWING, please paste the following link into your browser:
https://showmojo.com/l/afc8c4c084
666 Sacramento Street is an SRO (Single Room Occupancy) building located in Chinatown and is walking distance to the Financial District and Downtown San Francisco neighborhoods.
Unit #6 is a renovated, street-facing unit located on the 2nd Floor with a sink. The building has a shared kitchen, toilets, and bathrooms.
DETAILS:
Bed: 0
Bath: Shared
Kitchen: Shared
Utilities: All included
WiFi: None included
Lease Term: 12 months
No Pets
No Parking
REQUIRED QUALIFICATIONS:
Credit Score of 650+
Monthly income of 2.5x the amount of rent
Positive references
CONTACT:
Fanny Chun - Leasing Agent
show contact info
CA DRE #02243211
Structure Properties, Inc.
3727 Buchanan Street, Floor 4
San Francisco, CA 94123
structureproperties.com
CA DRE #01961414
This unit is a rental unit subject to the San Francisco Rent Ordinance, which limits evictions without just cause, and which states that any waiver by a tenant of their rights under the Rent Ordinance is void as contrary to public policy.
All Utilities Included
Lease Terms
. No dogs
. No cats
Contact Us:
show contact info
See more photos and
SCHEDULE A SHOWING
at:
http://schedule-a-tour.com/lc/afc8c4c084",2025-12-03 00:47:33,160621.63,3581,2967
55862,7897894753,790,1.0,,140.0,94112,excelsior / outer mission,"QR Code Link to This Post
Up stair One Private bedroom. for rent, very quiet, it including some furniture. Walk to CCSF (Alemany Blvd & Ocean Ave..) plus utility per person. 1 year lease required, Share the kitchen. and share bathroom with other 2 tenants, as the picture.
Utility split with other.
• Bank statement to show ability to pay rent
• Credit report
• References / proof of employment / Proof of income
For interested parties, please email ,give a brief description of yourself.
Thank you ! Kenny
show contact info",2025-12-03 00:47:33,131280.36,1139,4762
55863,7894548838,750,1.0,,,94112,ingleside / SFSU / CCSF,"QR Code Link to This Post
Ocean view for rent in 94112! A single room with a shared bathroom with another tenant. Rent: $750. We have a washer and a dryer on site. All utility bills will be equally split between tenants. There is an M train right outside the door! Easy to get on the highway! Most of the current tenants are men. Ready to move in anytime! If interested, text
show contact info
or call after 5 PM to schedule a time to visit.",2025-12-03 00:47:33,131280.36,1139,4762
55922,7894783588,920,1.0,,,94133,north beach / telegraph hill,"QR Code Link to This Post
North Beach Hotel
www.mosserco.com
show contact info
Walk-in Tours Available
Deep in the heart of North Beach, 935 Kearny offers well-appointed efficiency with shared baths- there is a sink in each unit with individual restrooms and showers down the hall. Located within Hotel North Beach, the units are loaded with classic Victorian details and tall double-hung windows offering tons of natural light and city views. All units have electricity, water, and cable, with on-site laundry available.
The neighborhood just can’t be beaten! Located at Kearny and Columbus, the building is steeped in quirky boutiques, fantastic eateries, storied taverns, and Beatnik history. Nestled between Fisherman’s Wharf and the Financial District-transit is a breeze with easy access to Montgomery Street BART, and several Muni cable car and bus lines.
WHAT YOU'LL GET:
-Newly remodeled
-Utilities Included
-Free Wi-Fi
-Laundry on site
-Rent Control
-Sink, Refrigerator, Microwave In Unit
-24-hour Front Desk
- Walk Score and Transit Score 100!
Lease Terms
-Lease: monthly
-Income: 2 x Rent
-Utilities: included
-Deposit: 1x Rent, 2x w/Guarantor
-Proof of Income: Offer Letter, Pay Stubs
Click on the link to apply on line:
https://hotelnorthbeach.securecafe.com/onlineleasing/north-beach-hotel/guestlogin.aspx
*Call, Walk-In or Email to Schedule a Viewing Appointment
show contact info
*Price and Availability are Subject to Change
*Photos might be of similar unit
*Agent and tenants will wear masks and follow COVID -19 guidelines",2025-12-03 00:47:33,116675.28,1370,2842
